Time [s],Force sensor Rx,Stepper PUL
0.121212250,1,0
0.121247250,0,0
0.121272875,1,0
0.121290625,0,0
0.121307500,1,0
0.121333875,0,0
0.121342250,1,0
0.121351250,0,0
0.121368250,1,0
0.121394625,0,0
0.121402875,1,0
0.121420625,0,0
0.121428875,1,0
0.121446625,0,0
0.121454875,1,0
0.121464000,0,0
0.121480875,1,0
0.121507250,0,0
0.121515625,1,0
0.121542000,0,0
0.121550250,1,0
0.121567875,0,0
0.121576250,1,0
0.121594000,0,0
0.121611000,1,0
0.121646000,0,0
0.121671625,1,0
0.130036500,0,0
0.130044875,1,0
0.130123250,0,0
0.130131500,1,0
0.130140625,0,0
0.130157500,1,0
0.130166625,0,0
0.130174875,1,0
0.130209875,0,0
0.130244250,1,0
0.130253250,0,0
0.130270250,1,0
0.130296625,0,0
0.130322250,1,0
0.130383250,0,0
0.130391625,1,0
0.130400625,0,0
0.130408875,1,0
0.130418000,0,0
0.130443625,1,0
0.130469875,0,0
0.130478250,1,0
0.130504625,0,0
0.130521625,1,0
0.130530625,0,0
0.130547625,1,0
0.130556625,0,0
0.130564875,1,0
0.130574000,0,0
0.130582250,1,0
0.130591250,0,0
0.130616875,1,0
0.130643250,0,0
0.130651625,1,0
0.130730000,0,0
0.130738250,1,0
0.130747375,0,0
0.130764250,1,0
0.130773375,0,0
0.130790250,1,0
0.130816625,0,0
0.130825000,1,0
0.130834000,0,0
0.130842250,1,0
0.130851375,0,0
0.130894250,1,0
0.130903375,0,0
0.130911625,1,0
0.130929375,0,0
0.130937625,1,0
0.130946625,0,0
0.130963625,1,0
0.130990000,0,0
0.131033000,1,0
0.131059375,0,0
0.131067625,1,0
0.131076750,0,0
0.131111000,1,0
0.131120000,0,0
0.131137000,1,0
0.131163375,0,0
0.131180375,1,0
0.131189375,0,0
0.131197750,1,0
0.131206750,0,0
0.131215000,1,0
0.131250000,0,0
0.131275750,1,0
0.131293375,0,0
0.131310375,1,0
0.131336750,0,0
0.131345000,1,0
0.131354125,0,0
0.131371000,1,0
0.131397375,0,0
0.131405750,1,0
0.131423375,0,0
0.131431750,1,0
0.131449375,0,0
0.131457750,1,0
0.131466750,0,0
0.131483750,1,0
0.131510125,0,0
0.131518375,1,0
0.131544750,0,0
0.131553125,1,0
0.131570750,0,0
0.131579125,1,0
0.131596750,0,0
0.131613750,1,0
0.131648750,0,0
0.131674375,1,0
0.134439000,1,1
0.140039375,0,1
0.140047625,1,1
0.140126000,0,1
0.140134375,1,1
0.140143375,0,1
0.140160375,1,1
0.140169375,0,1
0.140177625,1,1
0.140212750,0,1
0.140247000,1,1
0.140256125,0,1
0.140273000,1,1
0.140299375,0,1
0.140325000,1,1
0.140386125,0,1
0.140394375,1,1
0.140403375,0,1
0.140411750,1,1
0.140420750,0,1
0.140446375,1,1
0.140472750,0,1
0.140481000,1,1
0.140507375,0,1
0.140524375,1,1
0.140533375,0,1
0.140550375,1,1
0.140559375,0,1
0.140567750,1,1
0.140576750,0,1
0.140585125,1,1
0.140594125,0,1
0.140619750,1,1
0.140646125,0,1
0.140654375,1,1
0.140732750,0,1
0.140741125,1,1
0.140750125,0,1
0.140767125,1,1
0.140776125,0,1
0.140793125,1,1
0.140819500,0,1
0.140827750,1,1
0.140836750,0,1
0.140845125,1,1
0.140854125,0,1
0.140897125,1,1
0.140906125,0,1
0.140914500,1,1
0.140932125,0,1
0.140940500,1,1
0.140949375,0,1
0.140966500,1,1
0.140992875,0,1
0.141035750,1,1
0.141062125,0,1
0.141070500,1,1
0.141079500,0,1
0.141113875,1,1
0.141122875,0,1
0.141139875,1,1
0.141166250,0,1
0.141183125,1,1
0.141192250,0,1
0.141200500,1,1
0.141209500,0,1
0.141217875,1,1
0.141252875,0,1
0.141278500,1,1
0.141296250,0,1
0.141313125,1,1
0.141339500,0,1
0.141347875,1,1
0.141356875,0,1
0.141373875,1,1
0.141400250,0,1
0.141408500,1,1
0.141426250,0,1
0.141434500,1,1
